ID,image_url,Original_Post,Topic_ID_Reg,Keywords_Regular_Topic,Topic_Name_Regular,Topic_ID_Enr,Keywords_Enriched_Topic,Topic_Name_Enriched
B93,https://pbs.twimg.com/media/HCToVSlbEAsdvXi.jpg,Media aapko Middle East war ka sirf 20 sach bata rahi hai. Baaki 80 power politics hai. Israel aur Hamas lad rahe hain lekin asli game 3 countries khel rahi hain. Agle kuch saalon mein duniya ka Power Order badalne wala hai. Samajhiye IsraelPalestine GazaWar Geopolitics,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
B101,https://pbs.twimg.com/media/HCMiaC2bEAMFgCv.png,"FYI, the truth",0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
B103,https://pbs.twimg.com/media/HCTEBYuaQAAMBwM.jpg,History will remember your name with great honor as a brave leader and martyr on this day of the IsraelIran conflict. Khamenei IsraelTerroristState iranvsisrael war,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death
B109,https://pbs.twimg.com/media/HCUH9MFWsAA2WBg.jpg,DEFINISCI BAMBINO. Iran usa Trump Teheran Israel,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,28,"saudi, arabia, condemns, attack, prince, qatar, kuwait, strongly, crown, foreign",GCC Condemnations & Saudi Foreign Policy
B112,https://pbs.twimg.com/media/HCUICK6acAAjGis.jpg,Khamenei Tehran خامنئي النصر_الفيحاء Dubai قاعدة_علي_السالم الحرب_العالمية_الثالثة Khamenei NoLimit Israel Iran savas PakistanArmy,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
B117,https://pbs.twimg.com/media/HCTW-p1WIAA3Fhq.jpg,"IRANS BARRAGE ON THE GULF UAE 137 missiles 209 drones. Qatar 66 missiles. Bahrain 45 missiles 9 drones. Most intercepted, but the numbers are staggering. Iran fired roughly as many missiles at the UAE alone as it did at Israel in the same wave. Source",17,"base, drones, bahrain, riyadh, embassy, hit, missiles, kuwait, iranian, missile",Military Base Attacks & Missile Strikes (Gulf),3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
B122,https://pbs.twimg.com/media/HCUIIhiaUAAPEAs.jpg,Khamenei iran dictator hamaney savas amerika Israel,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death
B143,https://pbs.twimg.com/media/HCUCoOPa0AA569J.jpg,Iran الحرب_العالمية_الثالثة savas Khamenei war TelAviv Teheran TehranAttack Indian China Russian DonaldTrump Iran Turkish oil MarcoRubio ModiInIsrael NarendraModi usamillitary Israel IsraelIranWar OLYMPOP2026 FestivaldiSanremo,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
B161,https://pbs.twimg.com/media/HCKpzeeWsAAa6GC.jpg,توییت اتاق جنگ اسرائیل KingRezaPahlavi IranMassacre IranRevoIution2026,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
B163,https://pbs.twimg.com/media/HCUIq93acAAkfEA.png,US Israel Iran War Tension May Make Markets Bleed on Monday. 35 HighQuality Stocks to Track if Market Falls For Study Purposes Only Hitachi Energy MTAR Technologies Transrail Syrma SGS Atlanta Electricals Oriana Power CDSL Quality Power GE Vernova TampD Rajesh Power,10,"oil, crude, prices, brent, price, chart, wti, usoil, barrel, spike",Global Crude Oil Market & Prices,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B195,https://pbs.twimg.com/media/HCTz1-4bEAEr5OB.jpg,"As the U.S. enters direct conflict with Iran, serious question How does this put America First Taxpayer money funding war overseas Rising economic pressure here at home Global backlash toward Americans U.S. troops now targets of retaliation Who does actually benefit",-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups
B197,https://pbs.twimg.com/media/HCQxJExaYAAzFpX.jpg,This is called solidarity... Iran single handedly handled America by destroying his airbases. May Allah bless Iran with victory. May this conflict unite the entire Muslim Ummah. I stand with Iran WorldWar3 Tehran,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B214,https://pbs.twimg.com/media/HCRsHxsXAAAcMUI.jpg,America absolutely framemogs Iran.,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
B218,https://pbs.twimg.com/media/HCT6x5AaYAAFdop.jpg,War pig Graham preps America for noble death toll as Iran retaliates The senator speaks on Fox News as Iranian missiles continue to rain down on US bases and allies. Hes ready to fight to the last American as long as hes not one of them.,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups
B224,https://pbs.twimg.com/media/HCO54SLb0AAi3Xm.jpg,iran war Sigonella ancora una volta protagonista delle guerre di USA e Israele Stanotte un pattugliatore P8A Poseidon di US Navy è decollato dalla base militare verso il Mediterraneo orientale per partecipare alle operazioni ontro lIran. Il governo Meloni cobelligerante,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,11,"drone, port, oman, duqm, tanker, fuel, tanura, drones, ras, near",Maritime Drone Attacks & Port Security
B230,https://pbs.twimg.com/media/HCQZU8iWAAAcJT5.jpg,"BREAKING The IRGC Navy announces via VHF radio that no vessels are allowed to cross, and closes the Strait of Hormuz Reuters iran usa israel",26,"navy, iris, sunk, class, ships, iranian, naval, forces, ship, gulf",Iranian Naval Forces & Ship Incidents,5,"hormuz, strait, oil, global, traffic, lng, gulf, energy, map, persian",Global Energy & Strait of Hormuz
B238,https://pbs.twimg.com/media/HCUFYAybQAIWxLf.jpg,"ईरन न फरस क खड क रसत रक, अमरक जहज क लए फरस क खड बद World War3 Iran Khamenei Israel usa Trump DonaldTrump",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
B241,https://pbs.twimg.com/media/HCUJ58MWwAAE5ra.jpg,Tribute to the Martyr of Truth Ayatollah AlUzma Khamenei By Tariq Mahmood World War III آیت_اللہ_خامنہ_ای_شہید Khamenei WorldWar3 Iran Tehran IsraelTerroristState USA Trump trending الهلال_الشباب IsraelTerroristState IsraelIranConflict shahadat hithard خامنئي,9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
B252,https://pbs.twimg.com/media/HCOv_GBbEAAGgBq.jpg,He just did that. Kiss your Navy goodbye asshole,26,"navy, iris, sunk, class, ships, iranian, naval, forces, ship, gulf",Iranian Naval Forces & Ship Incidents,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
B271,https://pbs.twimg.com/media/HCP88MmWwAAKjXB.jpg,"Genocidal Ethiopians advocate to ignite war in the Horn of Africa utilizing the conflict among USA, Israel and Iran as an opportunity",15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)",7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues
B273,https://pbs.twimg.com/media/HCUBL_HaIAA9-p0.jpg,"Trumps Epic Fury ends Monday in a Nobel peace prize dream if Tehran plays along. Iran just hit 27 US bases, USS Gilford Ford is sinkable. Markets closed Friday Conflict opened Saturday Mondays Oil Shock incoming. Chinese missiles vs carriers who Blinks 1st",4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B289,https://pbs.twimg.com/media/HCLssHAWMAAWWzr.jpg,"US STRIKES IRAN BY FEBRUARY 28 NO on Polymarket I had orders placed from 73 and below but we never went lower . Quickly bounced back above 80 1d 11h left to hold , but that price was clearly there for the taking.. Indirect talks in Geneva were described as constructive by Iran, with more discussions expected soon",3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B290,https://pbs.twimg.com/media/HCPGfMFXsAA4FIQ.jpg,the audacity to strike iran and then play the victim as if your presence hasnt been a fucking cancer for the middle east,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B305,https://pbs.twimg.com/media/HCUJ-ZfboAAC-uL.jpg,5 minutes U.S. ATTACK ON IRAN STRAIT OF HORMUZ BLOCKED 150 OIL IS HERE SUPREME LEADER DEAD,9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B307,https://pbs.twimg.com/media/HCUHMPmWQAA9H4Q.png,Esattamente come me lero immaginata. I raid di Israele e USA sullIran sarebbero dovuti partire nel corso della notte così come da copione. Sono stati invece posticipati alla mattina per farli coincidere con il decapitation strike di Khamenei.,34,"dome, iron, arrow, interceptions, missiles, israel, range, missile, weapon, defense",Israel Missile Defense (Iron Dome/Arrow),-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B342,https://pbs.twimg.com/media/HCULU0oWsAAeZq2.jpg,savas Iran Khamenei Israel usa war,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,29,"school, girls, minab, strike, children, سپاه, irgc, schools, پاسداران, killed",Attacks on Schools & IRGC Repression in Iran
B347,https://pbs.twimg.com/media/HCPND4va0AA4lA8.jpg,"Major Ongoing Wars 2026 Israel Iran Middle East Direct clashes IAF air strike at Tehran Israel backed by US. Russia Ukraine Fullscale war continues since 2022 heavy fighting in east south Ukraine. Pakistan Afghanistan Crossborder airstrikes clashes after Pakistan declared open war. Yemen Civil War Houthi rebels vs internationally recognized government. Syria Civil War Fragmented conflict with Assad regime, rebels foreign interventions.",3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
B349,https://pbs.twimg.com/media/HCSkvXcXkAAh555.jpg,"War has evolved. It is no longer led by tanks and massive armies, but by drones controlling the skies. In conflicts like Iran vs. Israel, unmanned systems now lead surveillance and strike operations, proving that modern combat is driven by technology first. Welcome to Call of Drones where whoever commands the sky commands the war.",34,"dome, iron, arrow, interceptions, missiles, israel, range, missile, weapon, defense",Israel Missile Defense (Iron Dome/Arrow),11,"drone, port, oman, duqm, tanker, fuel, tanura, drones, ras, near",Maritime Drone Attacks & Port Security
B356,https://pbs.twimg.com/media/HCT_ON7bIAAK6Or.jpg,"STREET PARTIES from Europe to Australia to the US Flags waving, people cheering Khamenei gone after USIsrael strike. The man who threatened the world for decades... another one bites the dust How the turntables. Whats next for Iran Khamenei MiddleEast Iran",20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
B367,https://pbs.twimg.com/media/HCT8xH8asAAKH3F.jpg,Stand with iran North Korea China Syria Lebanon Yemen Iraq Pakistan Brazil Oman Nigeria Egypt Russia China Syria Lebanon Yemen Iraq Pakistan Brazil Oman North Korea Armenia Turkey Khamenei Iran Israel,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
B391,https://pbs.twimg.com/media/HCRMLpubEAM0LqF.jpg,"When the Iranian regime falls, Hezbollah and the governments it controls in Iraq, Syria, and Lebanon will be dismantled. So will the Shiite faction in the Yemeni civil war. The main source of antiIsrael, and therefore antiWestern, funding will disappear. The left mourns this, as does its main Muslim protector, the evertreacherous France A memorable day. Historic since the end of World War II. God bless America",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
B393,https://pbs.twimg.com/media/HCFfNwibcAAyA_x.jpg,اسٹبلشمنٹ کے ٹاؤٹ اسرائیل کو تسلیم کرنے کا بیانہ چلا رہے,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
B397,https://pbs.twimg.com/media/HCT772KWoAAtCVv.jpg,Facts. Iran Iraq war 1m USSR afgan 2m. Millions killed in Africa 700k killed in Syria 400k killed in Yemen 50k killed in Iran in 2 days You are yelling when Israel responded to genocide. The same genocide was in 1929. You are retarded,33,"killed, bombing, service, members, centcom, barracks, american, marine, beirut, marines",US Military Casualties & Beirut Bombing Memorials,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
B413,https://pbs.twimg.com/media/HCQwT0eX0AA5Y3h.jpg,"All my prayers are send to the innocent people from Iran, Iraq, Palestine, Sudan, Lebanon, Saudi Arabia, UAE, Kuwait, Bahrain etc., who are the real victims of the war caused by both the USA and Israel. freedom freepalestine freesudan stopthewar stopthegenocide",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
B415,https://pbs.twimg.com/media/HCOnAkebEAMCLXg.jpg,"Israels endless war continues with more bombing of Iran and the Iranian people. Whether Iran, Iraq, Palestine, Yemen or Lebanon the region has seen repeated Israeli and western killings and invasions, pushing peace further away. The world must act to end the bombing and killing.",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
B416,https://pbs.twimg.com/media/HCQJmkpXsAEF0lx.jpg,Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react Dont israel react,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
B417,https://pbs.twimg.com/media/HCRFdKtWIAAusWd.jpg,Apparently the Lebanese are zionists now for not wanting to get involved in the war,2,"lebanon, hezbollah, lebanese, israel, israeli, southern, rocket, beirut, northern, haifa",Lebanon Border & Hezbollah Conflict,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
B426,https://pbs.twimg.com/media/HCUH4rlbQAAJ_uV.jpg,Let us,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
B427,https://pbs.twimg.com/media/HCS1VczXIAAop_V.jpg,"Excellent analysisas a student of the scriptures, Turkey will go to war with Israel this year or by the first half of 2027Persia,Sheba Yemen",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
C113,https://pbs.twimg.com/media/HCZ3hMUboAAunBX.jpg,"ओमन पर हमल हमर मरज स नह हआ, IRGC अब सवततर ह, ईरन क वदश मतर क बड बयन nextindiatimes ircg IranWar Oman omanattack IranIsraelConflict",16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C116,https://pbs.twimg.com/media/HCULh8bWgAA7gdu.jpg,Reports of a Palauflagged oil tanker named Skylight coming under attack from Iranian forces approximately five nautical miles off the coast of Oman. straitofhormuz maritimesecurity oman iran iranwar oilmarkets oilprice,11,"drone, port, oman, duqm, tanker, fuel, tanura, drones, ras, near",Maritime Drone Attacks & Port Security,5,"hormuz, strait, oil, global, traffic, lng, gulf, energy, map, persian",Global Energy & Strait of Hormuz
C117,https://pbs.twimg.com/media/HCUFR4LaIAAIMjp.jpg,"જ અરબ દશ પર હમલ અતયર સધ નથ થય તય પણ થય હમલ, ઓમન પર ઈરનન ડરન એટક OmanAttack IranDroneStrike MiddleEastConflict GlobalTensions Gujarat viralvideo viral viralshort trending trendingshorts SHORT",21,"cyber, cybersecurity, cyberwarfare, website, israeli, attack, infrastructure, internet, phishing, pakistan",Cyberwarfare & Infrastructure Attacks,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C118,https://pbs.twimg.com/media/HCYiuMCakAAalQ1.jpg,"Weeks ago Saudi Arabia assured Iran that our airspace wont be used to attack Iran. Same with Qatar, Oman, Kuwait and other countries. Second, Iran attacked hotels, airports and public spaces that werent even relevant. Third, Saudi doesnt have american base, our airforce is ours.",8,"airspace, flights, airlines, closed, closure, flight, syrian, dubai, emirates, airport","Aviation, Flight Disruptions & Airspace",28,"saudi, arabia, condemns, attack, prince, qatar, kuwait, strongly, crown, foreign",GCC Condemnations & Saudi Foreign Policy
C122,https://pbs.twimg.com/media/HCaAelXWcAAQQ53.jpg,Qatars Foreign Minister says that Irans attacks cant be left without a retaliation and that they must pay a price for its attacks against the country,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
C123,https://pbs.twimg.com/media/HCQWG2jW0AI3Eni.jpg,கததரன தலநகரன தஹவல பதமககள வசககம பகதயல ஈரன தககதல iran attack qatar doha rightchannelofficial,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
C129,https://pbs.twimg.com/media/HCVPiqTboAEjkcc.jpg,"Iran launched retaliatory attacks on the US military presence in Bahrain, Jordan, Kuwait, Qatar and the United Arab Emirates.",3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation,17,"base, drones, bahrain, riyadh, embassy, hit, missiles, kuwait, iranian, missile",Military Base Attacks & Missile Strikes (Gulf)
C130,https://pbs.twimg.com/media/HCVWBBXWUAAPCUG.jpg,"The Russians supported and armed Iran for years, pretending to be a friend of the Gulf States... when the hour came, they did not even condemn the attack on the United Arab Emirates",20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C140,https://pbs.twimg.com/media/HCXD4fAbUAAInKw.jpg,RAF fighter jet out of Cyprus is heading straight towards Lebanon right after the attack from a missile or drone from iran. IranWar,2,"lebanon, hezbollah, lebanese, israel, israeli, southern, rocket, beirut, northern, haifa",Lebanon Border & Hezbollah Conflict,11,"drone, port, oman, duqm, tanker, fuel, tanura, drones, ras, near",Maritime Drone Attacks & Port Security
C144,https://pbs.twimg.com/media/HCOrXIEbwAAqDZJ.jpg,"다른건 진짜 넘어가는데 귀여운척은 좀 아니자나 ㅡㅡ 큰거온다더니 이란 오늘 미국이랑 이스라엘이 공격해주었네 ㅋㅋㅋ 마지막을 잘 즐겨. 틱톡커 마두로리. I can let most things slide, but acting cute is just not it ㅡㅡ HE said something big was coming, but today the US and Israel just attacked Iran lololol Enjoy the end. TikToker MaduroLEE",1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C152,https://pbs.twimg.com/media/HCWokU4WoAEXQDA.jpg,"Did any of those countries have American military bases which used to attack Iran Have you heard that this is standard USA practice to steal oils like they did in Irac, Libya, Syria Do you know how many countries USA invaded last 80 years",26,"navy, iris, sunk, class, ships, iranian, naval, forces, ship, gulf",Iranian Naval Forces & Ship Incidents,17,"base, drones, bahrain, riyadh, embassy, hit, missiles, kuwait, iranian, missile",Military Base Attacks & Missile Strikes (Gulf)
C170,https://pbs.twimg.com/media/HCPv2Z8bEAMclCx.jpg,ଇରନ_ଉପର_ଇସରଏଲର_ଜରଦର_ଆକରମଣ Sambad Iran Iraq Attack,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C190,https://pbs.twimg.com/media/HCUpeX4WoAEm6n0.jpg,These are the headquarters of the Basij militia and the IRGC.,6,"ukraine, russia, putin, russian, winter, zelensky, february, territory, talks, peace",Russia-Ukraine War & Peace Talks,16,"israel, iran, اسرائیل, war, stand, ایران, ہیں, poll, people, mercy",Public Opinion Polls: Iran-Israel Conflict
C215,https://pbs.twimg.com/media/HCaBMdjaMAAfh2o.jpg,Continue to spread information to whats happening. As these are the areas being affected.,21,"cyber, cybersecurity, cyberwarfare, website, israeli, attack, infrastructure, internet, phishing, pakistan",Cyberwarfare & Infrastructure Attacks,15,"united, jordan, yemen, bahrain, kuwait, qatar, conflict, war, arab, arabia","  Arab State Alliances & Regional Geopolitics   (Jordan, Yemen, Gulf)"
C228,https://pbs.twimg.com/media/HCTs2_IawAA7aMM.jpg,Classic Taco removes oversight of Iranian nuclear power program in 1st term Complains like a little pussy ass bitch about the problem his idiocy caused Hit subterranean Iranian facility with daisy cutter tomahawks Claim victory amp problem solved Need distraction WMD WMD,23,"natanz, nuclear, facility, enrichment, site, hit, irans, damage, complex, atomic",Natanz Nuclear Facility & Enrichment,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C235,https://pbs.twimg.com/media/HCQtnR1bEAEYiv9.jpg,Pray for those who are affected. Spread awareness,7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues,-1,Outlier/Unclassified (Noise),Outlier/Unclassified Noise
C239,https://pbs.twimg.com/media/HCWdQxGaEAAhHun.jpg,"IRAN IS DEFENDING ITS SOVEREIGNTY,NOT THE AGGRESSOR USIsrael assassinated Khamenei bombed Iran first. Irans precise retaliation hit only military targets. Now UKFranceGermany threaten defensive action Hypocrisy Russia China stand firmly with Iran for justice multipolarity. The Resistance Axis will NOT be bullied",20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation
C241,https://pbs.twimg.com/media/HCZGQx5X0AA7hqG.jpg,"Irans military retaliation is notable for hitting more or less every one of its neighbors. The attacks underscore that Iran is the main threat to the entire region. What it has been doing all along by proxy, it now does directly.",3,"iran, israel, strikes, attack, bahrain, qatar, tehran, kuwait, uae, launched",Iran-Israel Tensions & Regional Escalation,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups
C252,https://pbs.twimg.com/media/HCW8I4daoAAjIvP.jpg,Oh it looks like you missed something. Too bad we know you all lie anyway. Fucking Defect all of you,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,17,"base, drones, bahrain, riyadh, embassy, hit, missiles, kuwait, iranian, missile",Military Base Attacks & Missile Strikes (Gulf)
C253,https://pbs.twimg.com/media/HCV5tBbWgAAJ8O0.jpg,Keep the updates coming,10,"oil, crude, prices, brent, price, chart, wti, usoil, barrel, spike",Global Crude Oil Market & Prices,26,"navy, iris, sunk, class, ships, iranian, naval, forces, ship, gulf",Iranian Naval Forces & Ship Incidents
C259,https://pbs.twimg.com/media/HCSMwtkWYAIP7J2.jpg,Since Im short on time heres a quick sheet.,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,17,"base, drones, bahrain, riyadh, embassy, hit, missiles, kuwait, iranian, missile",Military Base Attacks & Missile Strikes (Gulf)
C262,https://pbs.twimg.com/media/HCZ-BugXEAAehkj.jpg,We love and support the families of the fallen. Thank you for your service to this country.,33,"killed, bombing, service, members, centcom, barracks, american, marine, beirut, marines",US Military Casualties & Beirut Bombing Memorials,0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran
C264,https://pbs.twimg.com/media/HCZwEikWsAAggDC.jpg,"U.S. Central Command CENTCOM said in a Monday statement that three U.S. Air Force F15E Strike Eagle fighter jets were mistakenly shot down by Kuwaiti air defenses while defending against attacks by Iranian aircraft, missiles and drones. Read more",14,"lincoln, abraham, uss, carrier, aircraft, missiles, strike, ballistic, irgc, group",USS Abraham Lincoln Carrier Group & Strikes,11,"drone, port, oman, duqm, tanker, fuel, tanura, drones, ras, near",Maritime Drone Attacks & Port Security
